[manga-translator.ModelMangaOCR] prob: 0.9998981952667237 だが．．．その人間は fg: (3, 3, 1) bg: (3, 3, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999939799308778 殺さないと fg: (3, 5, 1) bg: (3, 5, 1)
[manga-translator.ModelMangaOCR] prob: 0.9991149902343751 いけないなあ！ fg: (4, 5, 1) bg: (4, 5, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999899268150331 なければ fg: (4, 5, 1) bg: (4, 5, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999869465827942 身につけているものを fg: (2, 4, 1) bg: (2, 4, 1)
[manga-translator.ModelMangaOCR] prob: 0.9997658729553224 すべて置いていけば fg: (2, 5, 1) bg: (2, 5, 1)
[manga-translator.ModelMangaOCR] prob: 0.9997381567955018 助けてやる！ fg: (2, 3, 1) bg: (2, 3, 1)
[manga-translator.ModelMangaOCR] prob: 0.9998874664306642 そうか．．．なら fg: (4, 4, 0) bg: (4, 4, 0)
[manga-translator.ModelMangaOCR] prob: 0.999886453151703 女と金目の物を fg: (3, 2, 0) bg: (3, 2, 0)
[manga-translator.ModelMangaOCR] prob: 0.9996304512023927 よこせ！ fg: (6, 6, 1) bg: (6, 6, 1)
[manga-translator.ModelMangaOCR] prob: 0.9506468772888184 またまたトラブル・ fg: (4, 2, 1) bg: (4, 2, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999592304229736 俺たちは人間領から fg: (3, 3, 1) bg: (3, 3, 1)
[manga-translator.ModelMangaOCR] prob: 0.9997208118438722 逃げてきたんだ！ fg: (3, 4, 1) bg: (3, 4, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999239444732667 怪しい奴らめ fg: (3, 5, 3) bg: (3, 5, 3)
[manga-translator.ModelMangaOCR] prob: 0.9996614456176759 貴様ら何者だ！ fg: (3, 5, 1) bg: (3, 5, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999903440475465 我々は fg: (5, 3, 1) bg: (5, 3, 1)
[manga-translator.ModelMangaOCR] prob: 0.9999545812606812 政府軍直属の fg: (4, 4, 1) bg: (4, 4, 1)
[manga-translator.ModelMangaOCR] prob: 0.9994872808456422 国境警備隊だ！ fg: (5, 5, 3) bg: (5, 5, 3)
[manga-translator.GroqTranslator] Translating into Spanish
[manga-translator.ModelMangaOCR] prob: 0.9999659061431885 弱かった fg: (1, 3, 2) bg: (1, 3, 2)
[manga-translator.ModelMangaOCR] prob: 0.9983925819396974 なあ．．．．． fg: (7, 5, 4) bg: (7, 5, 4)
